"Substance name","Description","EC No.","CAS No.","Reason for inclusion","Date of inclusion","IUCLID dataset","Remarks"
"Reaction products of benzene, chlorine and sulfur chloride (S2Cl2) with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol","","469-080-6","921213-47-0","Toxic for reproduction (Article 57c)","04-Feb-2026","",""
"1,1'-(ethane-1,2-diyl)bis[pentabromobenzene] (DBDPE)","","284-366-9","84852-53-9","vPvB (Article 57e)","05-Nov-2025","",""
"tetra(sodium/potassium) 7-[(E)-{2-acetamido-4-[(E)-(4-{[4-chloro-6-({2-[(4-fluoro-6-{[4-(vinylsulfonyl)phenyl]amino}-1,3,5-triazine-2-yl)amino]propyl}amino)-1,3,5-triazine-2-yl]amino}-5-sulfonato-1-naphthyl)diazenyl]-5-methoxyphenyl}diazenyl]-1,3,6-naphthalenetrisulfonate (Reactive Brown 51)","substance having a complex composition with <80% of the above constituents and other reaction side products","466-490-7","-","Toxic for reproduction (Article 57c)","25-Jun-2025","",""
"decamethyltetrasiloxane","","205-491-7","141-62-8","vPvB (Article 57e)","25-Jun-2025","",""
"1,1,1,3,5,5,5-heptamethyl-3-[(trimethylsilyl)oxy]trisiloxane","","241-867-7","17928-28-8","vPvB (Article 57e)","25-Jun-2025","",""
"reaction mass of: triphenylthiophosphate and tertiary butylated phenyl derivatives","","421-820-9","192268-65-8","PBT (Article 57d)","21-Jan-2025","https://echa.europa.eu/documents/10162/19d0c561-c440-7d58-1f1a-82f635a56284",""
"Perfluamine","","206-420-2","338-83-0","vPvB (Article 57e)","21-Jan-2025","https://echa.europa.eu/documents/10162/fdaa58f9-036f-fa45-32a5-ff298257a105",""
"Octamethyltrisiloxane","","203-497-4","107-51-7","vPvB (Article 57e)","21-Jan-2025","https://echa.europa.eu/documents/10162/381a5fab-2de2-6fa7-86dd-9fbfd173a162",""
"O,O,O-triphenyl phosphorothioate","","209-909-9","597-82-0","PBT (Article 57d)","21-Jan-2025","https://echa.europa.eu/documents/10162/52c84e84-f317-913a-4c58-01406b51abbb",""
"6-[(C10-C13)-alkyl-(branched, unsaturated)-2,5-dioxopyrrolidin-1-yl]hexanoic acid","","701-118-1","2156592-54-8","Toxic for reproduction (Article 57c)","21-Jan-2025","https://echa.europa.eu/documents/10162/13385f79-6113-2f54-c5d2-9e867039c6ea",""
"Triphenyl phosphate","","204-112-2","115-86-6","Endocrine disrupting properties (Article 57(f) - environment)","07-Nov-2024","https://echa.europa.eu/documents/10162/ef88904b-3e7b-2326-7937-2569a1970af6",""
"Bis(α,α-dimethylbenzyl) peroxide","","201-279-3","80-43-3","Toxic for reproduction (Article 57c)","27-Jun-2024","https://echa.europa.eu/documents/10162/d6f3d76b-597a-1d2e-89d6-d0e81a739b92",""
"Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol","","700-960-7","-","vPvB (Article 57e)","23-Jan-2024","https://echa.europa.eu/documents/10162/634c637f-1400-f2b3-3e6d-ae8b75fe8a6f","The name phenol, methylstyrenated and EC number 270-966-8 and CAS number 68512-30-1 have been historically used to identify the substance “Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol”. These identifiers are reported in the candidate list as additional information."
"Phenol, methylstyrenated","","270-966-8","68512-30-1","vPvB (Article 57e)","23-Jan-2024","https://echa.europa.eu/documents/10162/634c637f-1400-f2b3-3e6d-ae8b75fe8a6f","The name phenol, methylstyrenated and EC number 270-966-8 and CAS number 68512-30-1 have been historically used to identify the substance “Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol”. These identifiers are reported in the candidate list as additional information."
"Bumetrizole (UV-326)","","223-445-4","3896-11-5","vPvB (Article 57e)","23-Jan-2024","https://echa.europa.eu/documents/10162/c5b482b0-1ade-976d-5b4a-d8cf5227bcc7",""
"2-(dimethylamino)-2-[(4-methylphenyl)methyl]-1-[4-(morpholin-4-yl)phenyl]butan-1-one","","438-340-0","119344-86-4","Toxic for reproduction (Article 57c)","23-Jan-2024","https://echa.europa.eu/documents/10162/035bf1c5-2e51-8bca-e90f-aeed72d4bce8",""
"2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol (UV-329)","","221-573-5","3147-75-9","vPvB (Article 57e)","23-Jan-2024","https://echa.europa.eu/documents/10162/fca389fe-e982-c59c-8c1e-cbadb70c65e6",""
"2,4,6-tri-tert-butylphenol","","211-989-5","732-26-3","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","23-Jan-2024","https://echa.europa.eu/documents/10162/b998098f-c61f-6c7a-1500-2e10d3f291c2",""
"diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide","","278-355-8","75980-60-8","Toxic for reproduction (Article 57c)","14-Jun-2023","https://echa.europa.eu/documents/10162/bba7bd61-c532-61e7-f84a-46be8495747b",""
"bis(4-chlorophenyl) sulphone","","201-247-9","80-07-9","vPvB (Article 57e)","14-Jun-2023","https://echa.europa.eu/documents/10162/63a9b09d-1319-9c0d-3390-6d41aad19e45",""
"reaction mass of 2,2,3,3,5,5,6,6-octafluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)morpholine and 2,2,3,3,5,5,6,6-octafluoro-4-(heptafluoropropyl)morpholine","","473-390-7","-","vPvB (Article 57e)","17-Jan-2023","https://echa.europa.eu/documents/10162/9e6b1274-70f2-bf1e-90d9-a12700e18bd5",""
"Perfluoroheptanoic acid and its salts","","-","-","Toxic for reproduction (Article 57c)""""PBT (Article 57d)""""vPvB (Article 57e)""""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","17-Jan-2023","https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da",""
"Perfluoroheptanoic acid","","206-798-9","375-85-9","Toxic for reproduction (Article 57c)""""PBT (Article 57d)""""vPvB (Article 57e)""""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","17-Jan-2023","https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da",""
"Sodium perfluoroheptanoate","","243-518-4","20109-59-5","Toxic for reproduction (Article 57c)""""PBT (Article 57d)""""vPvB (Article 57e)""""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","17-Jan-2023","https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da",""
"potassium perfluoroheptanoate","","-","21049-36-5","Toxic for reproduction (Article 57c)""""PBT (Article 57d)""""vPvB (Article 57e)""""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","17-Jan-2023","https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da",""
"Ammonium perfluoroheptanoate","","228-098-2","6130-43-4","Toxic for reproduction (Article 57c)""""PBT (Article 57d)""""vPvB (Article 57e)""""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","17-Jan-2023","https://echa.europa.eu/documents/10162/1f041880-8c8b-ee7a-2bef-fdb84e6b39da",""
"Melamine","","203-615-4","108-78-1","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","17-Jan-2023","https://echa.europa.eu/documents/10162/400552f2-c5b1-b2d7-2572-6ffa0cafa310",""
"Isobutyl 4-hydroxybenzoate","","224-208-8","4247-02-3","Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2023","https://echa.europa.eu/documents/10162/3ee697d2-1942-3ab9-45ae-2579795169ce",""
"bis(2-ethylhexyl) tetrabromophthalate covering any of the individual isomers and/or combinations thereof","","-","-","vPvB (Article 57e)","17-Jan-2023","https://echa.europa.eu/documents/10162/042c08dc-3385-5cc7-b851-e60ecead7a0b",""
"Bis(2-ethylhexyl) tetrabromophthalate","","247-426-5","26040-51-7","vPvB (Article 57e)","17-Jan-2023","https://echa.europa.eu/documents/10162/042c08dc-3385-5cc7-b851-e60ecead7a0b",""
"Barium diboron tetraoxide","","237-222-4","13701-59-2","Toxic for reproduction (Article 57c)","17-Jan-2023","https://echa.europa.eu/documents/10162/ece3647e-bf00-b6bc-b668-9c1688f9e0a1",""
"4,4'-sulphonyldiphenol","","201-250-5","80-09-1","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2023","https://echa.europa.eu/documents/10162/ee7a9523-4533-90fe-3e9f-84f4e6cdce32",""
"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol","","201-236-9","79-94-7","Carcinogenic (Article 57a)","17-Jan-2023","https://echa.europa.eu/documents/10162/d89e7bbc-bac9-a092-4c94-30a067b46656",""
"1,1'-[ethane-1,2-diylbisoxy]bis[2,4,6-tribromobenzene]","","253-692-3","37853-59-1","vPvB (Article 57e)","17-Jan-2023","https://echa.europa.eu/documents/10162/dfd5c516-be38-2da8-5a2c-5815a938e9ab",""
"N-(hydroxymethyl)acrylamide","","213-103-2","924-42-5","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)","10-Jun-2022","https://echa.europa.eu/documents/10162/7b2404fe-f91e-0b39-32b7-b853e82ab2af",""
"tris(2-methoxyethoxy)vinylsilane","","213-934-0","1067-53-4","Toxic for reproduction (Article 57c)","17-Jan-2022","https://echa.europa.eu/documents/10162/b175f54b-e658-de9b-0dec-dad099bb1f17",""
"S-(tricyclo(5.2.1.0'2,6)deca-3-en-8(or 9)-yl O-(isopropyl or isobutyl or 2-ethylhexyl) O-(isopropyl or isobutyl or 2-ethylhexyl) phosphorodithioate","X4261","401-850-9","255881-94-8","PBT (Article 57d)","17-Jan-2022","https://echa.europa.eu/documents/10162/fab08a5e-d762-bc39-8999-fab001c36b7c",""
"6,6'-di-tert-butyl-2,2'-methylenedi-p-cresol","","204-327-1","119-47-1","Toxic for reproduction (Article 57c)","17-Jan-2022","https://echa.europa.eu/documents/10162/2409e362-247f-8ca4-c856-40231ac2dc88",""
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one covering any of the individual isomers and/or combinations thereof (4-MBC)","","-","-","Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2022","https://echa.europa.eu/documents/10162/94537711-ea88-61c3-4a4a-d134d900b81c",""
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one","","253-242-6","36861-47-9","Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2022","https://echa.europa.eu/documents/10162/94537711-ea88-61c3-4a4a-d134d900b81c",""
"(3E)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one","","-","1782069-81-1","Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2022","https://echa.europa.eu/documents/10162/94537711-ea88-61c3-4a4a-d134d900b81c",""
"(1R,3E,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one","","-","95342-41-9","Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2022","https://echa.europa.eu/documents/10162/94537711-ea88-61c3-4a4a-d134d900b81c",""
"(1S,3E,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one","","-","852541-30-1","Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2022","https://echa.europa.eu/documents/10162/94537711-ea88-61c3-4a4a-d134d900b81c",""
"(1R,3Z,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one","","-","852541-21-0","Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2022","https://echa.europa.eu/documents/10162/94537711-ea88-61c3-4a4a-d134d900b81c",""
"(1R,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one","","-","741687-98-9","Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2022","https://echa.europa.eu/documents/10162/94537711-ea88-61c3-4a4a-d134d900b81c",""
"(1S,3Z,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one","","-","852541-25-4","Endocrine disrupting properties (Article 57(f) - human health)","17-Jan-2022","https://echa.europa.eu/documents/10162/94537711-ea88-61c3-4a4a-d134d900b81c",""
"Phenol, alkylation products (mainly in para position) with C12-rich branched alkyl chains from oligomerisation, covering any individual isomers and/ or combinations thereof (PDDP)","","-","-","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","08-Jul-2021","https://echa.europa.eu/documents/10162/6823656a-b163-5985-75c4-a768a67b9d3c",""
"Phenol, dodecyl-, branched","","310-154-3","121158-58-5","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","08-Jul-2021","https://echa.europa.eu/documents/10162/6823656a-b163-5985-75c4-a768a67b9d3c",""
"Phenol, (tetrapropenyl) derivatives","","-","74499-35-7","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","08-Jul-2021","https://echa.europa.eu/documents/10162/6823656a-b163-5985-75c4-a768a67b9d3c",""
"Phenol, 4-dodecyl, branched","","-","210555-94-5","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","08-Jul-2021","https://echa.europa.eu/documents/10162/6823656a-b163-5985-75c4-a768a67b9d3c",""
"4-isododecylphenol","","-","27459-10-5","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","08-Jul-2021","https://echa.europa.eu/documents/10162/6823656a-b163-5985-75c4-a768a67b9d3c",""
"Phenol, tetrapropylene-","","-","57427-55-1","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","08-Jul-2021","https://echa.europa.eu/documents/10162/6823656a-b163-5985-75c4-a768a67b9d3c",""
"Phenol, 4-isododecyl-","","-","27147-75-7","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","08-Jul-2021","https://echa.europa.eu/documents/10162/6823656a-b163-5985-75c4-a768a67b9d3c",""
"orthoboric acid, sodium salt","","-","-","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/0b757d38-e10b-6692-2e56-b6d26b366dc8",""
"boric acid (H3BO3), sodium salt, hydrate","","-","25747-83-5","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/0b757d38-e10b-6692-2e56-b6d26b366dc8",""
"Trisodium orthoborate","","238-253-6","14312-40-4","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/0b757d38-e10b-6692-2e56-b6d26b366dc8",""
"Boric acid, sodium salt","","215-604-1","1333-73-9","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/0b757d38-e10b-6692-2e56-b6d26b366dc8",""
"Boric acid (H3BO3), disodium salt","","-","22454-04-2","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/0b757d38-e10b-6692-2e56-b6d26b366dc8",""
"Orthoboric acid, sodium salt","","237-560-2","13840-56-7","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/0b757d38-e10b-6692-2e56-b6d26b366dc8",""
"boric acid (H3BO3), sodium salt (1:1)","","-","14890-53-0","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/0b757d38-e10b-6692-2e56-b6d26b366dc8",""
"Medium-chain chlorinated paraffins (MCCP)","UVCB substances consisting of more than or equal to 80% linear chloroalkanes with carbon chain lengths within the range from C14 to C17","-","-","PBT (Article 57d)""""vPvB (Article 57e)","08-Jul-2021","https://echa.europa.eu/documents/10162/799da465-c1f4-00ea-e771-53d405fee8af",""
"di-, tri- and tetrachlorotetradecane","","-","-","PBT (Article 57d)""""vPvB (Article 57e)","08-Jul-2021","https://echa.europa.eu/documents/10162/799da465-c1f4-00ea-e771-53d405fee8af",""
"Alkanes, C14-17, chloro","","287-477-0","85535-85-9","PBT (Article 57d)""""vPvB (Article 57e)","08-Jul-2021","https://echa.europa.eu/documents/10162/799da465-c1f4-00ea-e771-53d405fee8af",""
"Tetradecane, chloro derivs.","","-","198840-65-2","PBT (Article 57d)""""vPvB (Article 57e)","08-Jul-2021","https://echa.europa.eu/documents/10162/799da465-c1f4-00ea-e771-53d405fee8af",""
"Alkanes, C14-16, chloro","","-","1372804-76-6","PBT (Article 57d)""""vPvB (Article 57e)","08-Jul-2021","https://echa.europa.eu/documents/10162/799da465-c1f4-00ea-e771-53d405fee8af",""
"glutaral","","203-856-5","111-30-8","Respiratory sensitising properties (Article 57(f) - human health)","08-Jul-2021","https://echa.europa.eu/documents/10162/b5ed1907-5313-68e0-c7a7-751d9de47330",""
"4,4'-(1-methylpropylidene)bisphenol","","201-025-1","77-40-7","Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","08-Jul-2021","https://echa.europa.eu/documents/10162/6755b6f5-11e8-ba1f-8168-6325fad64bce",""
"2-(4-tert-butylbenzyl)propionaldehyde and its individual stereoisomers","","-","-","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/17f27f86-efe0-c723-32b5-ff774ae31a16",""
"(2R)-3-(4-tert-butylphenyl)-2-methylpropanal","","-","75166-31-3","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/17f27f86-efe0-c723-32b5-ff774ae31a16",""
"2-(4-tert-butylbenzyl)propionaldehyde","","201-289-8","80-54-6","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/17f27f86-efe0-c723-32b5-ff774ae31a16",""
"(2S)-3-(4-tert-butylphenyl)-2-methylpropanal","","-","75166-30-2","Toxic for reproduction (Article 57c)","08-Jul-2021","https://echa.europa.eu/documents/10162/17f27f86-efe0-c723-32b5-ff774ae31a16",""
"2,2-bis(bromomethyl)propane-1,3-diol (BMP); 2,2-dimethylpropan-1-ol, tribromo derivative/3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA); 2,3-dibromo-1-propanol (2,3-DBPA)","","-","-","Carcinogenic (Article 57a)","08-Jul-2021","https://echa.europa.eu/documents/10162/12706f21-c551-9d0e-7b28-0c07bfcd89be",""
"3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA)","","-","1522-92-5","Carcinogenic (Article 57a)","08-Jul-2021","https://echa.europa.eu/documents/10162/12706f21-c551-9d0e-7b28-0c07bfcd89be",""
"2,2-dimethylpropan-1-ol, tribromo derivative (TBNPA)","","253-057-0","36483-57-5","Carcinogenic (Article 57a)","08-Jul-2021","https://echa.europa.eu/documents/10162/12706f21-c551-9d0e-7b28-0c07bfcd89be",""
"2,3-dibromo-1-propanol (2,3-DBPA)","","202-480-9","96-13-9","Carcinogenic (Article 57a)","08-Jul-2021","https://echa.europa.eu/documents/10162/12706f21-c551-9d0e-7b28-0c07bfcd89be",""
"2,2-bis(bromomethyl)propane-1,3-diol (BMP)","","221-967-7","3296-90-0","Carcinogenic (Article 57a)","08-Jul-2021","https://echa.europa.eu/documents/10162/12706f21-c551-9d0e-7b28-0c07bfcd89be",""
"1,4-dioxane","","204-661-8","123-91-1","Carcinogenic (Article 57a)""""Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","08-Jul-2021","https://echa.europa.eu/documents/10162/031ccf23-e060-c12b-5978-757b21f51ef5",""
"Dioctyltin dilaurate, stannane, dioctyl-, bis(coco acyloxy) derivs., and any other stannane, dioctyl-, bis(fatty acyloxy) derivs. wherein C12 is the predominant carbon number of the fatty acyloxy moiety","","-","-","Toxic for reproduction (Article 57c)","19-Jan-2021","https://echa.europa.eu/documents/10162/3daf4bfd-78b4-7e5a-717f-f8169e350d65",""
"Dioctyltin dilaurate","","222-883-3","3648-18-8","Toxic for reproduction (Article 57c)","19-Jan-2021","https://echa.europa.eu/documents/10162/3daf4bfd-78b4-7e5a-717f-f8169e350d65",""
"dioctyltin dilaurate; stannane, dioctyl-, bis(coco acyloxy) derivs.","","-","-","Toxic for reproduction (Article 57c)","19-Jan-2021","https://echa.europa.eu/documents/10162/3daf4bfd-78b4-7e5a-717f-f8169e350d65",""
"Stannane, dioctyl-, bis(coco acyloxy) derivs.","","293-901-5","91648-39-4","Toxic for reproduction (Article 57c)","19-Jan-2021","https://echa.europa.eu/documents/10162/3daf4bfd-78b4-7e5a-717f-f8169e350d65",""
"Bis(2-(2-methoxyethoxy)ethyl)ether","","205-594-7","143-24-8","Toxic for reproduction (Article 57c)","19-Jan-2021","https://echa.europa.eu/documents/10162/b3398d8d-f30d-1db5-1cbc-094de67753cf",""
"Dibutylbis(pentane-2,4-dionato-O,O')tin","","245-152-0","22673-19-4","Toxic for reproduction (Article 57c)","25-Jun-2020","https://echa.europa.eu/documents/10162/6f88822c-faae-8f80-7121-9e64752668dc",""
"Butyl 4-hydroxybenzoate","","202-318-7","94-26-8","Endocrine disrupting properties (Article 57(f) - human health)","25-Jun-2020","https://echa.europa.eu/documents/10162/59ed15a3-66ee-b8c8-1384-54277d0223eb",""
"2-methylimidazole","","211-765-7","693-98-1","Toxic for reproduction (Article 57c)","25-Jun-2020","https://echa.europa.eu/documents/10162/99d34015-c23f-882d-ba9e-8404434bb456",""
"1-vinylimidazole","","214-012-0","1072-63-5","Toxic for reproduction (Article 57c)","25-Jun-2020","https://echa.europa.eu/documents/10162/24d19609-35d1-edaa-4aac-07db7025edde",""
"Perfluorobutane sulfonic acid (PFBS) and its salts","","-","-","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"bis(4-t-butylphenyl)iodonium perfluorobutanesulfonate","","432-660-4","194999-85-4","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
"tetrabutyl-phosphonium nonafluoro-butane-1-sulfonate","","444-440-5","220689-12-3","Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)","16-Jan-2020","https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652","The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."
