idx,product,materials
22,Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol,phenol
23,"Phenol, methylstyrenated",Phenol
24,Bumetrizole (UV-326),2-amino-4-tert-butylphenol
25,2-(dimethylamino)-2-[(4-methylphenyl)methyl]-1-[4-(morpholin-4-yl)phenyl]butan-1-one,1-[4-(morpholin-4-yl)phenyl]butan-1-one
26,"2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol (UV-329)","4-(1,1,3,3-tetramethylbutyl)phenol"
27,"2,4,6-tri-tert-butylphenol",phenol
28,"diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide",diphenylphosphinous chloride
29,bis(4-chlorophenyl) sulphone,4-chlorobenzenesulfonyl chloride
30,"reaction mass of 2,2,3,3,5,5,6,6-octafluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)morpholine and 2,2,3,3,5,5,6,6-octafluoro-4-(heptafluoropropyl)morpholine",morpholine
31,Perfluoroheptanoic acid and its salts,"1H,1H,2H,2H-perfluoro-1-nonanol"
32,Perfluoroheptanoic acid,1H-tridecafluoroheptane
33,Sodium perfluoroheptanoate,Perfluoroheptanoic acid
34,potassium perfluoroheptanoate,perfluoroheptanoic acid
35,Ammonium perfluoroheptanoate,Perfluoroheptanoic acid
36,Melamine,Dicyandiamide
37,Isobutyl 4-hydroxybenzoate,4-Hydroxybenzoic acid
38,bis(2-ethylhexyl) tetrabromophthalate covering any of the individual isomers and/or combinations thereof,tetrabromophthalic anhydride
39,Bis(2-ethylhexyl) tetrabromophthalate,Tetrabromophthalic anhydride
40,Barium diboron tetraoxide,Barium carbonate
41,"4,4'-sulphonyldiphenol",phenol
42,"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol","4,4'-isopropylidenediphenol"
43,"1,1'-[ethane-1,2-diylbisoxy]bis[2,4,6-tribromobenzene]","2,4,6-tribromophenol"
44,N-(hydroxymethyl)acrylamide,Acrylamide
45,tris(2-methoxyethoxy)vinylsilane,trichlorovinylsilane
46,"S-(tricyclo(5.2.1.0'2,6)deca-3-en-8(or 9)-yl O-(isopropyl or isobutyl or 2-ethylhexyl) O-(isopropyl or isobutyl or 2-ethylhexyl) phosphorodithioate",Dicyclopentadiene
47,"6,6'-di-tert-butyl-2,2'-methylenedi-p-cresol",2-tert-butyl-p-cresol
48,"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one covering any of the individual isomers and/or combinations thereof (4-MBC)",Camphor
49,"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one",Camphor
50,"(3E)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor
51,"(1R,3E,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor
52,"(1S,3E,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor
53,"(1R,3Z,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor
54,"(1R,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor
55,"(1S,3Z,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",Camphor
56,"Phenol, alkylation products (mainly in para position) with C12-rich branched alkyl chains from oligomerisation, covering any individual isomers and/ or combinations thereof (PDDP)",Phenol
57,"Phenol, dodecyl-, branched",Phenol
58,"Phenol, (tetrapropenyl) derivatives",Phenol
59,"Phenol, 4-dodecyl, branched","Dodecene, branched"
60,4-isododecylphenol,Phenol
61,"Phenol, tetrapropylene-",Tetrapropylene
62,"Phenol, 4-isododecyl-",Phenol
63,"orthoboric acid, sodium salt",Boric acid
64,"boric acid (H3BO3), sodium salt, hydrate",disodium tetraborate decahydrate
65,Trisodium orthoborate,Boric acid
66,"Boric acid, sodium salt",Boron oxide
67,"Boric acid (H3BO3), disodium salt",Disodium tetraborate
68,"Orthoboric acid, sodium salt",Boric acid
69,"boric acid (H3BO3), sodium salt (1:1)","boric acid, sodium hydroxide"
70,Medium-chain chlorinated paraffins (MCCP),Paraffins
71,"di-, tri- and tetrachlorotetradecane",tetradecane
72,"Alkanes, C14-17, chloro",C14-17-alkanes
73,"Tetradecane, chloro derivs.",Tetradecane
74,"Alkanes, C14-16, chloro",C14-16-alkanes
75,glutaral,"1,5-pentanediol"
76,"4,4'-(1-methylpropylidene)bisphenol","phenol, 2-butanone"
77,2-(4-tert-butylbenzyl)propionaldehyde and its individual stereoisomers,4-tert-butylbenzyl chloride
78,(2R)-3-(4-tert-butylphenyl)-2-methylpropanal,3-(4-tert-butylphenyl)-2-methylprop-2-enal
79,2-(4-tert-butylbenzyl)propionaldehyde,1-tert-butyl-4-methylbenzene
80,(2S)-3-(4-tert-butylphenyl)-2-methylpropanal,(2S)-3-(4-tert-butylphenyl)-2-methylprop-2-enal
81,"2,2-bis(bromomethyl)propane-1,3-diol (BMP); 2,2-dimethylpropan-1-ol, tribromo derivative/3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA); 2,3-dibromo-1-propanol (2,3-DBPA)",Pentaerythritol
82,"3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA)",Pentaerythritol
83,"2,2-dimethylpropan-1-ol, tribromo derivative (TBNPA)","2,2-dimethylpropan-1-ol"
84,"2,3-dibromo-1-propanol (2,3-DBPA)",allyl alcohol
85,"2,2-bis(bromomethyl)propane-1,3-diol (BMP)",Pentaerythritol
86,"1,4-dioxane",Diethylene glycol
87,"Dioctyltin dilaurate, stannane, dioctyl-, bis(coco acyloxy) derivs., and any other stannane, dioctyl-, bis(fatty acyloxy) derivs. wherein C12 is the predominant carbon number of the fatty acyloxy moiety",Dioctyltin oxide
88,Dioctyltin dilaurate,Dioctyltin dichloride
89,"dioctyltin dilaurate; stannane, dioctyl-, bis(coco acyloxy) derivs.",dioctyltin dichloride
90,"Stannane, dioctyl-, bis(coco acyloxy) derivs.",Dioctyltin oxide
91,Bis(2-(2-methoxyethoxy)ethyl)ether,Triethylene glycol
92,"Dibutylbis(pentane-2,4-dionato-O,O')tin",Dibutyltin dichloride
93,Butyl 4-hydroxybenzoate,4-Hydroxybenzoic acid
94,2-methylimidazole,"glyoxal, formaldehyde, ammonia"
95,1-vinylimidazole,Imidazole
96,Perfluorobutane sulfonic acid (PFBS) and its salts,Perfluorobutanesulfonyl fluoride
97,bis(4-t-butylphenyl)iodonium perfluorobutanesulfonate,1-tert-butyl-4-iodobenzene
98,tetrabutyl-phosphonium nonafluoro-butane-1-sulfonate,tetrabutylphosphonium chloride
99,dimethyl(phenyl)sulfanium perfluorobutanesulfonate,thioanisole
100,"1-(4-butoxy-1-naphthalenyl)tetrahydrothiophenium 1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonate",4-butoxy-1-naphthalenecarboxylic acid
101,Triphenylsulfanium perfluorobutane sulfonate,Triphenylsulfonium chloride
102,"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonic acid",Potassium nonaflate
103,magnesium perfluorobutanesulfonate,perfluorobutanesulfonic acid
104,lithium perfluorobutanesulfonate,perfluorobutanesulfonyl fluoride
105,morpholinium perfluorobutanesulfonate,"morpholine, nonafluorobutanesulfonic acid"
106,"Potassium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonate","1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl fluoride"
107,"Ammonium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonate","1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl fluoride"
108,"N,N,N-triethylethanaminium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate",tetraethylammonium hydroxide
109,Diisohexyl phthalate,Isohexanol
110,2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one,1-(4-methylthiophenyl)-2-bromopropan-1-one
111,2-benzyl-2-dimethylamino-4'-morpholinobutyrophenone,4'-morpholinobutyrophenone
112,"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP)",4-nonylphenol
113,"Phenol, 4-nonyl-, phosphite (3:1)",Nonylphenol
114,"tris(4-nonylphenyl, branched) phosphite","4-nonylphenol, branched"
115,tris(nonylphenyl) phosphite,Nonylphenol
116,"Phenol, p-isononyl-, phosphite (3:1)",4-nonylphenol
117,"Phenol, p-sec-nonyl-, phosphite",4-sec-nonylphenol
118,4-tert-butylphenol,Phenol
119,2-methoxyethyl acetate,2-methoxyethanol
120,"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid, its salts and its acyl halides",Hexafluoropropylene oxide
121,"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.",Unknown
122,"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionyl fluoride",Hexafluoropropylene oxide
123,"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.",Perfluorooctanoic acid
124,"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid",hexafluoroproppropylene oxide
125,"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.",Unknown
126,"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoate","2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoic acid"
127,"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.",Perfluorooctanoic acid
128,"potassium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionate","2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoic acid"
129,"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.",Perfluorooctanesulfonic acid
130,"Propanoic acid, 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-, (-)-",Unknown
131,"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.",Unknown
132,"Propanoic acid, 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-, (+)-",Unknown
133,"Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects.",Unknown
134,Pyrene,Chrysene
135,Phenanthrene,Biphenyl
136,Fluoranthene,Acenaphthylene
137,Benzo[k]fluoranthene,Fluoranthene
138,"2,2-bis(4'-hydroxyphenyl)-4-methylpentane","Phenol,4-methyl-2-pentanone"
139,"1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one",Camphor
140,"Terphenyl, hydrogenated",Terphenyl
141,Octamethylcyclotetrasiloxane,Dimethyldichlorosilane
142,Lead,Galena
143,Ethylenediamine,"1,2-Dichloroethane"
144,Dodecamethylcyclohexasiloxane,Dimethyldichlorosilane
145,Disodium octaborate,Boric acid
146,Dicyclohexyl phthalate,Phthalic anhydride
147,Decamethylcyclopentasiloxane,Dimethyldichlorosilane
148,Benzo[ghi]perylene,Pyrene
149,"Benzene-1,2,4-tricarboxylic acid 1,2 anhydride","1,2,4-trimethylbenzene"
150,"Reaction products of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and 4-heptylphenol, branched and linear (RP-HP)",4-heptylphenol
151,"Formaldehyde, reaction products with branched and linear heptylphenol, carbon disulfide and hydrazine",Heptylphenol
152,"Reaction product of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and phenol, heptyl derivs.",Heptylphenol
153,Chrysene,Anthracene
154,Cadmium nitrate,Cadmium oxide
155,Cadmium hydroxide,Cadmium nitrate
156,Cadmium carbonate,Cadmium sulfate
157,Benz[a]anthracene,1-Naphthaldehyde
158,"1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene (“Dechlorane Plus”™)",Hexachlorocyclopentadiene
159,"(1S,2S,5R,6R,9S,10S,13R,14R)-1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.1⁶,⁹.0²,¹³.0⁵,¹⁰]octadeca-7,15-diene",Hexachlorocyclopentadiene
160,"1,6,7,8,9,14,15,16,17,17,18,18-dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene",Hexachlorocyclopentadiene
161,"(1S,2S,5S,6S,9R,10R,13R,14R)-1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.1⁶,⁹.0²,¹³.0⁵,¹⁰]octadeca-7,15-diene",Hexachlorocyclopentadiene
162,"rel-(1R,4S,4aS,6aR,7R,10S,10aS,12aR)-1,2,3,4,7,8,9,10,13,13,14,14-dodecachloro-1,4,4a,5,6,6a,7,10,10a,11,12,12a-dodecahydro-1,4:7,10-dimethanodibenzo[a,e]cyclooctene",Hexachlorocyclopentadiene
163,"rel-(1R,4S,4aS,6aS,7S,10R,10aR,12aR)-1,2,3,4,7,8,9,10,13,13,14,14-dodecachloro-1,4,4a,5,6,6a,7,10,10a,11,12,12a-dodecahydro-1,4:7,10-dimethanodibenzo[a,e]cyclooctene",Hexachlorocyclopentadiene
164,Perfluorohexane-1-sulphonic acid and its salts,1-iodoperfluorohexane
165,potassium perfluorohexane-1-sulphonate,perfluorohexane-1-sulphonyl fluoride
166,ammonium perfluorohexane-1-sulphonate,perfluorohexane-1-sulfonyl fluoride
167,"tridecafluorohexanesulphonic acid, compound with 2,2'-iminodiethanol (1:1)",tridecafluorohexanesulphonic acid
168,perfluorohexane-1-sulphonic acid,perfluorohexyl iodide
169,"Sulfonium, [4-[(2-methyl-1-oxo-2-propenyl)oxy]phenyl]diphenyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1), polymer with 2-ethyltricyclo[3.3.1.13,7]dec-2-yl 2-methyl-2-propenoate, 3-hydroxytricyclo[3.3.1.13,7]dec-1-yl 2-methyl-2-propenoate and tetrahydro-2-oxo-3-furanyl 2-methyl-2-propenoate",2-methyl-2-propenoic acid
170,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, cesium salt (1:1)","1-Iodo-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane"
171,"Dibenzo[k,n][1,4,7,10,13]tetraoxathiacyclopentadecinium, 19-[4-(1,1-dimethylethyl)phenyl]-6,7,9,10,12,13-hexahydro-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Dibenzo-15-crown-5-thioether
172,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, lithium salt (1:1)",1-Iodoperfluorohexane
173,"Quinolinium, 1-(carboxymethyl)-4-[2-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]ethenyl]-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",4-methylquinoline
174,"Iodonium, diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Diphenyliodonium chloride
175,"Methanaminium, N,N,N-trimethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1)","1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid"
176,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd.with 2-methyl-2-propanamine (1:1)","Perfluoro-1-hexanesulfonic acid, 2-methyl-2-propanamine"
177,"Iodonium, bis[4-(1,1-dimethylethyl)phenyl]-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Bis(4-tert-butylphenyl)iodonium bromide
178,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, gallium salt (9CI)",Perfluorohexanesulfonic acid
179,"Sulfonium, bis(4-methylphenyl)phenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Diphenyl sulfoxide
180,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, scandium(3+) salt (3:1)",1H-Perfluorohexane-1-sulfonic acid
181,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, zinc salt","1H,1H,2H,2H-perfluoro-1-hexanesulphonyl chloride"
182,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, neodymium(3+) salt (3:1)",Perfluorohexanesulfonic acid
183,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, yttrium(3+) salt (3:1)",Perfluorohexanesulfonic acid
184,"Sulfonium, (thiodi-4,1-phenylene)bis[diphenyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:2)",Diphenyl sulfide
185,"Iodonium, bis[4-(1,1-dimethylpropyl)phenyl]-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic","1-iodo-4-(1,1-dimethylpropyl)benzene"
186,"Sulfonium, tris[4-(1,1-dimethylethyl)phenyl]-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Tris(4-tert-butylphenyl)sulfonium bromide
187,"Phosphonium, triphenyl(phenylmethyl)-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","Triphenylphosphine, Benzyl bromide, Tridecafluorohexanesulfonic acid"
188,"N,N,N-tributylbutan-1-aminium tridecafluorohexane-1-sulfonate",Tridecafluorohexane-1-sulfonic acid
189,"N,N,N-triethylethanaminium tridecafluorohexane-1-sulfonate","1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonic acid"
190,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. With pyrrolidine (1:1)","Perfluorohexanesulfonic acid, pyrrolidine"
191,"Ethanaminium, N-[4-[[4-(diethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Victoria Blue R
192,"Methanaminium, N-[4-[[4-(dimethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Victoria Blue R
193,"Methanaminium, N-[4-[[4-(dimethylamino)phenyl][4-(phenylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Victoria Blue R
194,"Beta-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)",Beta-Cyclodextrin
195,"Gamma-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)","Gamma-cyclodextrin,Tridecafluorohexanesulfonic acid"
196,"Sulfonium, triphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Triphenylsulfonium chloride
197,"Sulfonium, [4-[(2-methyl-1-oxo-2-propen-1-yl)oxy]phenyl]diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",4-(diphenylsulfonio)phenyl methacrylate
198,"Sulfonium, (4-methylphenyl)diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",(4-Methylphenyl)diphenylsulfonium trifluoromethanesulfonate
199,"Iodonium, bis[(1,1-dimethylethyl)phenyl]-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1) (9CI)",tert-butylbenzene
200,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. with N,N-diethylethanamine (1:1)","1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-"
201,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, sodium salt","1-Iodo-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane"
202,"p-(1,1-dimethylpropyl)phenol",Phenol
203,Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts,"1H,1H,2H,2H-perfluorododecan-1-ol"
204,sodium nonadecafluorodecanoate,perfluorodecanoic acid
205,Ammonium nonadecafluorodecanoate,Perfluorodecanoic acid
206,Nonadecafluorodecanoic acid,Decanoic acid
207,"4-heptylphenol, branched and linear","Phenol, heptene"
208,4-heptylphenol,Phenol
209,"Phenol, heptyl derivs.","Phenol, 1-heptene"
210,4-(3-ethylpentan-3-yl)phenol,Phenol
211,4-(2-methylhexan-2-yl)phenol,"Phenol,2-methylhex-2-ene"
212,"4-(3,3-dimethylpentan-2-yl)phenol",Phenol
213,4-(3-methylhexan-2-yl)phenol,Phenol
214,"4-(4,4-dimethylpentan-2-yl)phenol",Phenol
215,4-(4-methylhexan-2-yl)phenol,Phenol
216,4-(5-methylhexan-2-yl)phenol,Phenol
217,"4-(2,2-dimethylpentan-3-yl)phenol",phenol
218,4-(5-methylhexan-3-yl)phenol,Phenol
219,4-(heptan-3-yl)phenol,Phenol
220,4-(heptan-2-yl)phenol,"Phenol,2-heptene"
221,4-(heptan-4-yl)phenol,Phenol
222,4-(3-ethylpentyl)phenol,Phenol
223,4-(3-methylhexyl)phenol,Phenol
224,4-(4-methylhexyl)phenol,Phenol
225,4-(5-methylhexyl)phenol,Phenol
226,"4-(2,4-dimethylpentan-3-yl)phenol",Phenol
227,"Phenol, 4-tert-heptyl-",Phenol
228,"Phenol, 4-(1-ethyl-1,2-dimethylpropyl)-",Phenol
229,"4-(2,3-dimethylpentan-2-yl)phenol",Phenol
230,"4-(2,4-dimethylpentan-2-yl)phenol",Phenol
231,4-(3-methylhexan-3-yl)phenol,Phenol
232,"4-(2,3,3-trimethylbutan-2-yl)phenol",Phenol
233,"4,4'-isopropylidenediphenol","Phenol,Acetone"
234,Benzo[def]chrysene (Benzo[a]pyrene),Pyrene
235,Perfluorononan-1-oic-acid and its sodium and ammonium salts,"1H,1H,2H,2H-perfluoroundecan-1-ol"
236,ammonium heptadecafluorononanoate,heptadecafluorononanoic acid
